,x,y,z
0,705,1,772
1,439,2,912
2,800,817,769
3,709,818,566
4,865,564,665
5,399,92,565
6,258,219,485
7,339,361,8
8,815,66,553
9,183,160,178
10,355,405,928
11,96,878,252
12,421,634,231
13,648,959,927
14,359,206,604
15,711,419,829
16,148,481,74
17,28,114,845
18,821,490,111
19,550,384,623
20,664,748,750
21,695,46,635
22,753,482,361
23,670,383,533
24,730,487,131
25,227,307,85
26,481,974,440
27,424,624,902
28,267,29,952
29,661,78,55
30,574,175,342
31,744,879,450
32,631,677,977
33,235,618,175
34,234,44,179
35,241,939,987
36,174,96,621
37,357,691,715
38,518,33,103
39,220,339,929
40,953,395,277
41,495,734,797
42,283,13,166
43,295,501,813
44,7,95,379
45,896,501,206
46,191,900,844
47,574,426,486
48,552,155,61
49,159,473,670
50,607,410,37
51,490,672,870
52,355,853,872
53,891,11,512
54,699,899,768
55,334,651,669
56,434,292,654
57,113,432,675
58,553,652,139
59,682,483,992
60,163,205,378
61,782,370,342
62,330,853,584
63,606,34,218
64,13,29,303
65,612,690,35
66,641,569,327
67,162,637,109
68,526,111,367
69,483,60,917
70,458,606,927
71,573,59,894
72,267,567,340
73,909,678,384
74,163,382,318
75,202,532,328
76,100,108,801
77,284,158,700
78,197,286,144
79,109,326,368
80,336,60,693
81,512,537,278
82,895,256,45
83,797,90,965
84,13,469,305
85,618,201,417
86,932,585,213
87,424,762,463
88,381,157,7
89,440,240,502
90,273,871,134
91,851,176,144
92,506,485,400
93,713,926,151
94,302,27,861
95,755,610,919
96,654,977,57
97,354,298,910
98,228,156,479
99,150,681,554
